segment,filing_date,source_url,source_path,source_sha256,period,fiscal_year,fiscal_quarter,sales_usd,segment_profit_usd,comparable_prior_sales_usd,comparable_prior_segment_profit_usd,operating_cost_usd,comparable_prior_operating_cost_usd,segment_margin_pct
construction,2024-08-06,https://www.sec.gov/Archives/edgar/data/18230/000001823024000042/ex991toformcat2q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-08-06_0000018230-24-000042_EX-99.1_ex991toformcat2q2024earnin.htm,5b83c4d2db213e567a4a1b4bdfdc8d132172846c8a84aa8b62660f51e432725d,2024Q2,2024,2,6683000000.0,1741000000.0,7154000000.0,1803000000.0,4942000000.0,5351000000.0,26.051174622175672
mpe,2024-08-06,https://www.sec.gov/Archives/edgar/data/18230/000001823024000042/ex991toformcat2q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-08-06_0000018230-24-000042_EX-99.1_ex991toformcat2q2024earnin.htm,5b83c4d2db213e567a4a1b4bdfdc8d132172846c8a84aa8b62660f51e432725d,2024Q2,2024,2,15840000000.0,3661000000.0,16545000000.0,3550000000.0,12179000000.0,12995000000.0,23.112373737373737
power_energy,2024-08-06,https://www.sec.gov/Archives/edgar/data/18230/000001823024000042/ex991toformcat2q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-08-06_0000018230-24-000042_EX-99.1_ex991toformcat2q2024earnin.htm,5b83c4d2db213e567a4a1b4bdfdc8d132172846c8a84aa8b62660f51e432725d,2024Q2,2024,2,7337000000.0,1525000000.0,7219000000.0,1269000000.0,5812000000.0,5950000000.0,20.785062014447323
resource,2024-08-06,https://www.sec.gov/Archives/edgar/data/18230/000001823024000042/ex991toformcat2q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-08-06_0000018230-24-000042_EX-99.1_ex991toformcat2q2024earnin.htm,5b83c4d2db213e567a4a1b4bdfdc8d132172846c8a84aa8b62660f51e432725d,2024Q2,2024,2,3206000000.0,718000000.0,3563000000.0,740000000.0,2488000000.0,2823000000.0,22.395508421709295
construction,2024-10-30,https://www.sec.gov/Archives/edgar/data/18230/000001823024000050/ex991toformcat3q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-10-30_0000018230-24-000050_EX-99.1_ex991toformcat3q2024earnin.htm,879fcf61d952b6db02627011c07afe6025852b9e73c64654eea1f5541071dcbf,2024Q3,2024,3,6345000000.0,1486000000.0,6999000000.0,1847000000.0,4859000000.0,5152000000.0,23.42001576044129
mpe,2024-10-30,https://www.sec.gov/Archives/edgar/data/18230/000001823024000050/ex991toformcat3q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-10-30_0000018230-24-000050_EX-99.1_ex991toformcat3q2024earnin.htm,879fcf61d952b6db02627011c07afe6025852b9e73c64654eea1f5541071dcbf,2024Q3,2024,3,15231000000.0,3098000000.0,15988000000.0,3393000000.0,12133000000.0,12595000000.0,20.340095857133477
power_energy,2024-10-30,https://www.sec.gov/Archives/edgar/data/18230/000001823024000050/ex991toformcat3q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-10-30_0000018230-24-000050_EX-99.1_ex991toformcat3q2024earnin.htm,879fcf61d952b6db02627011c07afe6025852b9e73c64654eea1f5541071dcbf,2024Q3,2024,3,7187000000.0,1433000000.0,6859000000.0,1181000000.0,5754000000.0,5678000000.0,19.93877834979825
resource,2024-10-30,https://www.sec.gov/Archives/edgar/data/18230/000001823024000050/ex991toformcat3q2024earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2024-10-30_0000018230-24-000050_EX-99.1_ex991toformcat3q2024earnin.htm,879fcf61d952b6db02627011c07afe6025852b9e73c64654eea1f5541071dcbf,2024Q3,2024,3,3028000000.0,619000000.0,3351000000.0,730000000.0,2409000000.0,2621000000.0,20.44253632760898
construction,2025-01-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000004/cat_exx991x4qx2024xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-01-30_0000018230-25-000004_EX-99.1_cat_exx991x4qx2024xearning.htm,f23d6e2e23e7adb846b768ccdeb6a6f1d559790ae267976593d67ef60417863f,2024Q4,2024,4,6003000000.0,1174000000.0,6519000000.0,1535000000.0,4829000000.0,4984000000.0,19.556888222555386
mpe,2025-01-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000004/cat_exx991x4qx2024xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-01-30_0000018230-25-000004_EX-99.1_cat_exx991x4qx2024xearning.htm,f23d6e2e23e7adb846b768ccdeb6a6f1d559790ae267976593d67ef60417863f,2024Q4,2024,4,15332000000.0,2935000000.0,16237000000.0,3102000000.0,12397000000.0,13135000000.0,19.14296895382207
power_energy,2025-01-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000004/cat_exx991x4qx2024xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-01-30_0000018230-25-000004_EX-99.1_cat_exx991x4qx2024xearning.htm,f23d6e2e23e7adb846b768ccdeb6a6f1d559790ae267976593d67ef60417863f,2024Q4,2024,4,7649000000.0,1477000000.0,7669000000.0,1429000000.0,6172000000.0,6240000000.0,19.3097136880638
resource,2025-01-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000004/cat_exx991x4qx2024xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-01-30_0000018230-25-000004_EX-99.1_cat_exx991x4qx2024xearning.htm,f23d6e2e23e7adb846b768ccdeb6a6f1d559790ae267976593d67ef60417863f,2024Q4,2024,4,2962000000.0,466000000.0,3242000000.0,600000000.0,2496000000.0,2642000000.0,15.732613099257259
construction,2025-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000013/ex991toformcat1q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-04-30_0000018230-25-000013_EX-99.1_ex991toformcat1q2025earnin.htm,5b6d13d67021e560d0f50935fe0d2ac80d6fab305561b8fbf0058823967ddad4,2025Q1,2025,1,5184000000.0,1024000000.0,6424000000.0,1764000000.0,4160000000.0,4660000000.0,19.753086419753085
mpe,2025-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000013/ex991toformcat1q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-04-30_0000018230-25-000013_EX-99.1_ex991toformcat1q2025earnin.htm,5b6d13d67021e560d0f50935fe0d2ac80d6fab305561b8fbf0058823967ddad4,2025Q1,2025,1,13378000000.0,2515000000.0,14960000000.0,3404000000.0,10863000000.0,11556000000.0,18.799521602631188
power_energy,2025-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000013/ex991toformcat1q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-04-30_0000018230-25-000013_EX-99.1_ex991toformcat1q2025earnin.htm,5b6d13d67021e560d0f50935fe0d2ac80d6fab305561b8fbf0058823967ddad4,2025Q1,2025,1,6568000000.0,1314000000.0,6681000000.0,1301000000.0,5254000000.0,5380000000.0,20.006090133982948
resource,2025-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823025000013/ex991toformcat1q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-04-30_0000018230-25-000013_EX-99.1_ex991toformcat1q2025earnin.htm,5b6d13d67021e560d0f50935fe0d2ac80d6fab305561b8fbf0058823967ddad4,2025Q1,2025,1,2884000000.0,599000000.0,3193000000.0,730000000.0,2285000000.0,2463000000.0,20.769764216366156
construction,2025-08-05,https://www.sec.gov/Archives/edgar/data/18230/000001823025000037/ex991toformcat2q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-08-05_0000018230-25-000037_EX-99.1_ex991toformcat2q2025earnin.htm,abf5f87dd74f963b81e05c0f327b5e0e3e7e3a2542f90ff2112365a22cc42433,2025Q2,2025,2,6190000000.0,1244000000.0,6683000000.0,1741000000.0,4946000000.0,4942000000.0,20.09693053311793
mpe,2025-08-05,https://www.sec.gov/Archives/edgar/data/18230/000001823025000037/ex991toformcat2q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-08-05_0000018230-25-000037_EX-99.1_ex991toformcat2q2025earnin.htm,abf5f87dd74f963b81e05c0f327b5e0e3e7e3a2542f90ff2112365a22cc42433,2025Q2,2025,2,15674000000.0,2795000000.0,15840000000.0,3661000000.0,12879000000.0,12179000000.0,17.83207860150568
power_energy,2025-08-05,https://www.sec.gov/Archives/edgar/data/18230/000001823025000037/ex991toformcat2q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-08-05_0000018230-25-000037_EX-99.1_ex991toformcat2q2025earnin.htm,abf5f87dd74f963b81e05c0f327b5e0e3e7e3a2542f90ff2112365a22cc42433,2025Q2,2025,2,7836000000.0,1585000000.0,7337000000.0,1525000000.0,6251000000.0,5812000000.0,20.227156712608473
resource,2025-08-05,https://www.sec.gov/Archives/edgar/data/18230/000001823025000037/ex991toformcat2q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-08-05_0000018230-25-000037_EX-99.1_ex991toformcat2q2025earnin.htm,abf5f87dd74f963b81e05c0f327b5e0e3e7e3a2542f90ff2112365a22cc42433,2025Q2,2025,2,3087000000.0,537000000.0,3206000000.0,718000000.0,2550000000.0,2488000000.0,17.395529640427597
construction,2025-10-29,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/ex991toformcat3q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-10-29_0000018230-25-000043_EX-99.1_ex991toformcat3q2025earnin.htm,7c38b93619fcb1a1b9458ebac2078de4438c5aa5cd40328a8eee646cb549c7c5,2025Q3,2025,3,6760000000.0,1377000000.0,6345000000.0,1486000000.0,5383000000.0,4859000000.0,20.369822485207102
mpe,2025-10-29,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/ex991toformcat3q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-10-29_0000018230-25-000043_EX-99.1_ex991toformcat3q2025earnin.htm,7c38b93619fcb1a1b9458ebac2078de4438c5aa5cd40328a8eee646cb549c7c5,2025Q3,2025,3,16726000000.0,3002000000.0,15231000000.0,3098000000.0,13724000000.0,12133000000.0,17.948104747100324
power_energy,2025-10-29,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/ex991toformcat3q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-10-29_0000018230-25-000043_EX-99.1_ex991toformcat3q2025earnin.htm,7c38b93619fcb1a1b9458ebac2078de4438c5aa5cd40328a8eee646cb549c7c5,2025Q3,2025,3,8397000000.0,1678000000.0,7187000000.0,1433000000.0,6719000000.0,5754000000.0,19.98332737882577
resource,2025-10-29,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/ex991toformcat3q2025earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2025-10-29_0000018230-25-000043_EX-99.1_ex991toformcat3q2025earnin.htm,7c38b93619fcb1a1b9458ebac2078de4438c5aa5cd40328a8eee646cb549c7c5,2025Q3,2025,3,3110000000.0,499000000.0,3048000000.0,619000000.0,2611000000.0,2429000000.0,16.04501607717042
construction,2026-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat_exx991x4qx2025xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-01-29_0000018230-26-000003_EX-99.1_cat_exx991x4qx2025xearning.htm,3c023aaff984fc877928611937154a40bb632a145dcb2041a780c90b8da1b27f,2025Q4,2025,4,6926000000.0,1030000000.0,6003000000.0,1174000000.0,5896000000.0,4829000000.0,14.871498700548658
mpe,2026-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat_exx991x4qx2025xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-01-29_0000018230-26-000003_EX-99.1_cat_exx991x4qx2025xearning.htm,3c023aaff984fc877928611937154a40bb632a145dcb2041a780c90b8da1b27f,2025Q4,2025,4,18202000000.0,2572000000.0,15332000000.0,2935000000.0,15630000000.0,12397000000.0,14.130315349961542
power_energy,2026-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat_exx991x4qx2025xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-01-29_0000018230-26-000003_EX-99.1_cat_exx991x4qx2025xearning.htm,3c023aaff984fc877928611937154a40bb632a145dcb2041a780c90b8da1b27f,2025Q4,2025,4,9400000000.0,1841000000.0,7649000000.0,1477000000.0,7559000000.0,6172000000.0,19.585106382978722
resource,2026-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat_exx991x4qx2025xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-01-29_0000018230-26-000003_EX-99.1_cat_exx991x4qx2025xearning.htm,3c023aaff984fc877928611937154a40bb632a145dcb2041a780c90b8da1b27f,2025Q4,2025,4,3353000000.0,360000000.0,2980000000.0,471000000.0,2993000000.0,2509000000.0,10.73665374291679
construction,2026-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/ex991toformcat1q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-04-30_0000018230-26-000017_EX-99.1_ex991toformcat1q2026earnin.htm,27ec27a688174183b26761862140084e799df624c5cb0ecd8f6823de84192903,2026Q1,2026,1,7161000000.0,1535000000.0,5184000000.0,1024000000.0,5626000000.0,4160000000.0,21.43555369361821
mpe,2026-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/ex991toformcat1q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-04-30_0000018230-26-000017_EX-99.1_ex991toformcat1q2026earnin.htm,27ec27a688174183b26761862140084e799df624c5cb0ecd8f6823de84192903,2026Q1,2026,1,16473000000.0,2999000000.0,13378000000.0,2515000000.0,13474000000.0,10863000000.0,18.205548473259274
power_energy,2026-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/ex991toformcat1q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-04-30_0000018230-26-000017_EX-99.1_ex991toformcat1q2026earnin.htm,27ec27a688174183b26761862140084e799df624c5cb0ecd8f6823de84192903,2026Q1,2026,1,7031000000.0,1450000000.0,5783000000.0,1288000000.0,5581000000.0,4495000000.0,20.622955482861613
resource,2026-04-30,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/ex991toformcat1q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-04-30_0000018230-26-000017_EX-99.1_ex991toformcat1q2026earnin.htm,27ec27a688174183b26761862140084e799df624c5cb0ecd8f6823de84192903,2026Q1,2026,1,3797000000.0,378000000.0,3661000000.0,623000000.0,3419000000.0,3038000000.0,9.955227811430076
construction,2026-08-04,https://www.sec.gov/Archives/edgar/data/18230/000001823026000040/ex991toformcat2q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,2026Q2,2026,2,8346000000.0,1947000000.0,6190000000.0,1244000000.0,6399000000.0,4946000000.0,23.328540618260245
mpe,2026-08-04,https://www.sec.gov/Archives/edgar/data/18230/000001823026000040/ex991toformcat2q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,2026Q2,2026,2,19581000000.0,4214000000.0,15674000000.0,2795000000.0,15367000000.0,12879000000.0,21.520862060160358
power_energy,2026-08-04,https://www.sec.gov/Archives/edgar/data/18230/000001823026000040/ex991toformcat2q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,2026Q2,2026,2,8238000000.0,2027000000.0,7037000000.0,1554000000.0,6211000000.0,5483000000.0,24.605486768633163
resource,2026-08-04,https://www.sec.gov/Archives/edgar/data/18230/000001823026000040/ex991toformcat2q2026earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2026-08-04_0000018230-26-000040_EX-99.1_ex991toformcat2q2026earnin.htm,2539b5761894163928553d200c8c219f97702cb454b97abccb3e2ff74a3dd1fd,2026Q2,2026,2,4648000000.0,693000000.0,3886000000.0,563000000.0,3955000000.0,3323000000.0,14.909638554216867
